horizon_sec,correlation,p_value,avg_return_buy_heavy,avg_return_sell_heavy,edge_vs_cost
1,0.07775203348281633,2.908976176960536e-108,4.7581815339790975e-06,-3.5071928870911363e-06,0.004132687210535117
2,0.0797792052985255,6.766472187501149e-114,7.395588438620668e-06,-5.153768005988429e-06,0.006274678222304549
5,0.08198239715836549,3.518255739846209e-120,1.3251550033480026e-05,-8.709189584702543e-06,0.010980369809091284
10,0.07201509928012279,4.183805052494776e-93,1.7916881803534657e-05,-1.0741983118355304e-05,0.01432943246094498
30,0.04456022864964602,1.0720977201386436e-36,2.2405907916133527e-05,-8.987222389984404e-06,0.015696565153058964
60,0.03256383672184408,2.3920901634575745e-20,2.739823368799093e-05,-4.1636302501917315e-06,0.01578093196909133
120,0.024586766768031995,3.030293781127842e-12,3.721526831393892e-05,4.9277934602372675e-06,0.016143737426850827
